哀川翔,18.6,90.8
見取り図_(お笑いコンビ),14.5,70.6
ミルクボーイ,14.9,82.5
四千頭身,17,78.1
和牛_(お笑いコンビ),13.8,73.3
相武紗季,16.8,77
蒼井優,26.4,88
葵わかな,6,47.6
秋田汐梨,0.7,2.7
秋元梢,2.8,46.9
浅川梨奈,1.4,5.3
浅田舞,12.7,80.7
浅田真央,34.7,97.3
浅田美代子,11.5,69.9
浅野ゆう子,14.9,79.3
朝日奈央,25.1,72.9
朝比奈彩,5.3,26.5
芦田愛菜,45.8,95.4
麻生久美子,18.8,65.8
麻生祐未,8.8,40.5
安達祐実,23.2,86.7
足立梨花,14.7,69.9
天海祐希,50.4,91
綾瀬はるか,58.1,95.9
新井恵理那,13.3,46.5
新垣結衣,52,92.9
新木優子,21.4,64.2
嵐莉菜,0.5,2.8
有村架純,41.1,88.7
杏,35.9,90.8
アンミカ,27.8,93.1
安藤サクラ,25.3,73.8
飯豊まりえ,12.2,46.4
井川遥,24.8,75.8
生田絵梨花,15.6,56.3
池田エライザ,17.5,66.4
井桁弘恵,5.8,26.2
池田美優,21.1,87.4
池間夏海,0.7,3.2
池脇千鶴,9.9,51.2
生駒里奈,6.2,54.3
石井杏奈,6.4,27.4
石川恋,1.6,13.3
石田ニコル,2.5,29
石田ひかり,10.8,68
石田ゆり子,40.7,80.2
石野真子,11,68.8
石橋静河,6,28.5
石原さとみ,38.1,92.4
泉里香,7.6,31.3
磯野貴理子,14.7,85.7
磯山さやか,15.4,68.8
板谷由夏,8.1,39.3
市川紗椰,8,41.2
市川実日子,15.6,51.9
市毛良枝,11.7,60
いとうあさこ,36.1,94.9
伊藤歩,2.5,13.8
伊藤沙莉,26.9,61.6
稲垣来泉,4.2,11.7
稲森いずみ,14.9,63.9
井上咲楽,11.5,73.8
井上真央,26.9,76.8
祷キララ,0,1.1
伊原六花,5.1,30.3
今田美桜,28,65.5
IMALU,5.5,77.7
芋生悠,0.7,3.2
井本彩花,0,3.9
イモトアヤコ,36.5,97.5
井森美幸,23.2,85.8
上戸彩,34.3,93.1
上野樹里,27.4,77.2
宇賀なつみ,5.3,40.7
宇垣美里,6.2,31
臼田あさ美,3.5,29
宇多田ヒカル,39.5,94.9
内田有紀,31.3,79.6
内田理央,6.7,40.2
内山理名,9.9,59.3
榮倉奈々,29.7,81.1
江口のりこ,23.7,71.7
蛯原友里,8.3,71.3
王林,24.2,73.8
大久保佳代子,32.4,93.3
大坂なおみ,16.5,96.8
大沢あかね,11.3,77.7
大島美幸,27.6,94.9
大島優子,18.9,89
大竹しのぶ,21.6,90.3
大塚寧々,18.2,69.7
大友花恋,1.8,22.5
大野いと,1.8,14
大原櫻子,4.2,42.8
大政絢,10.6,55.4
岡崎紗絵,5.1,14.7
岡副麻希,5.3,38.2
岡田結実,13.1,73.3
岡本夏美,0.9,5.1
岡本玲,2.8,31.3
小川紗良,0.2,3
奥貫薫,6.4,31.7
小倉優子,9.9,83.9
押切もえ,4.8,76.3
乙葉,14.3,66
小野花梨,2.1,7.4
おのののか,5.7,74.7
尾野真千子,15.9,64.8
皆藤愛子,10.8,58.9
賀来千香子,13.3,64.8
筧美和子,7.6,53.3
柏木由紀,6.7,75.2
片桐はいり,18.8,81.4
かたせ梨乃,18.1,76.3
片平なぎさ,16.3,72.7
片山友希,0,1.9
加藤小夏,0.2,1.1
門脇麦,15.6,64.2
夏帆,19.3,66
上白石萌歌,16.5,78.1
上白石萌音,22.7,82.8
茅島みずき,0.4,3.7
河合優実,0.2,0.9
川栄李奈,18.8,71.2
河北麻友子,15.4,75.2
川口春奈,35.2,79.3
川島海荷,7.4,55.6
川津明日香,0.4,3
貫地谷しほり,15.2,68
菅野美穂,29.6,82.7
菅野莉央,0,2.3
菊池桃子,12.9,72.6
岸井ゆきの,11,33.8
貴島明日香,11,42.7
岸本加世子,11,65.1
北川景子,45.3,91.5
北乃きい,9.9,74.2
吉瀬美智子,24.8,75.8
木南晴夏,16.8,53.1
木村カエラ,13.8,82.5
木村多江,24.8,81.4
木村文乃,23.7,71.3
キムラ緑子,12.7,53.5
木村佳乃,28.5,74.7
きゃりーぱみゅぱみゅ,15.6,93.3
清原果耶,18.8,51.5
桐谷美玲,20.9,80
草刈民代,10.6,68.5
工藤美桜,1.8,9.7
国仲涼子,13.1,62.7
久保田紗友,1.9,9.4
久間田琳加,3.2,11.5
倉科カナ,16.5,67.3
栗山千明,16.3,71.9
黒木華,23.4,72.2
黒木瞳,17.5,82.7
黒沢かずこ,25.1,92.9
黒島結菜,9,45.1
黒谷友香,6.7,59.1
小池栄子,42.7,91
Cocomi,6.2,62.7
小芝風花,18.2,57.2
小嶋陽菜,8.7,63.7
小西桜子,0.5,2.3
小西真奈美,17.9,71.7
小林聡美,17.2,64.2
小松菜奈,20.9,67.8
小雪,13.1,82.5
近藤春菜,30.8,97
紺野彩夏,1.1,5.5
紺野まひる,2.1,27.8
紺野美沙子,6.7,55.6
財前直見,12,66.7
齋藤飛鳥,10.8,58.4
斉藤由貴,11.3,76.6
紗栄子,6.4,67.8
坂井真紀,11.2,62.1
酒井美紀,6.5,57.5
酒井若菜,5.7,40.2
榊原郁恵,23.4,83.4
坂下千里子,11.5,74.3
坂ノ上茜,0.4,2.7
佐久間由衣,6.7,34.7
桜井日奈子,8.1,46.4
桜井ユキ,9,31.2
桜田ひより,7.4,23.4
桜庭ななみ,2.8,36.1
佐々木希,20.7,80.4
指原莉乃,25.3,91.5
佐藤栞里,32.7,75.9
佐野ひなこ,3.5,28.8
沢口靖子,21.2,80.2
SHELLY,18.8,80.2
シシド・カフカ,11.3,60.4
志田彩良,1.9,7.8
志田未来,17.7,72.4
篠原涼子,23.5,90.8
柴咲コウ,31.3,89
柴田理恵,22.3,95.8
渋谷凪咲,12.6,41.6
島崎遥香,5,50.1
島崎和歌子,18.1,80.9
清水ミチコ,21.1,82.8
趣里,10.1,38.9
白石聖,1.9,9.6
白石麻衣,18.1,72.6
白石美帆,10.4,63.9
新川優愛,7.8,46.2
杉咲花,19.8,75.6
杉本彩,12.9,77.5
鈴木京香,18.6,74.5
鈴木砂羽,15.9,63.2
鈴木奈々,11.5,85.5
鈴木保奈美,13.8,73.8
鈴木ゆうか,0.9,5.1
鈴木梨央,6,44.6
須藤理彩,4.2,39.1
鷲見玲奈,7.4,45
清野菜名,23.5,61.9
関水渚,1.6,9.7
瀬戸朝香,11.9,64.1
染野有来,0.4,2.3
大地真央,19.5,80.2
平祐奈,4.8,42.3
高岡早紀,11.9,70.1
高島彩,12.4,66.7
高嶋ちさ子,25.5,89.6
高島礼子,14.7,77.7
高梨臨,8,36.1
高橋惠子,8.1,50.6
髙橋ひかる,7.8,30.3
高橋ひとみ,9.4,58.9
高橋真麻,12.2,86.2
高橋みなみ,7.1,72.4
高橋メアリージュン,12.9,66.4
高畑淳子,18.8,79.1
高畑充希,28.1,83.2
瀧内公美,1.6,8.8
滝川クリステル,8.8,90.6
滝沢カレン,32.6,91.5
瀧本美織,10.1,55
竹下景子,14.2,61.6
武田梨奈,2.7,16.6
武田玲奈,3.5,20.2
田中美佐子,14.5,62.7
田中道子,3.7,25.7
田中みな実,21.4,84.4
田中律子,11,66.7
田中麗奈,9.4,63.4
田辺桃子,1.9,7.8
田鍋梨々花,0.7,4.8
谷まりあ,9.4,43.2
多部未華子,29.9,78.2
玉城ティナ,5.5,47.3
ダレノガレ明美,8.1,84.8
檀れい,18.2,73.3
壇蜜,19.5,89.9
千秋,11.7,90.1
知花くらら,3.9,40.5
土村芳,1.6,7.8
土屋アンナ,14.9,88
土屋太鳳,21.6,88.7
恒松祐里,4.8,14.9
椿鬼奴,22.3,83.2
鶴田真由,11.7,56.6
出口夏希,0.7,2.8
寺島しのぶ,13.3,72.9
當真あみ,1.8,10.1
常盤貴子,22.1,76.3
徳永えり,1.9,15.2
戸田恵梨香,35,87.4
戸田恵子,25.8,77.2
戸田菜穂,9.2,49.4
富田望生,10.3,37.7
富田靖子,8.3,55
ともさかりえ,9.4,76.5
友近,28.3,93.3
豊嶋花,0.4,5.3
トラウデン直美,5.1,39.3
トリンドル玲奈,13.1,77.9
なえなの,2.7,22.3
奈緒,13.3,39.1
仲里依紗,22.1,72.7
長井短,1.9,21.1
中川翔子,27.8,91.3
中越典子,7.3,51.2
永作博美,28,74
長澤樹,1.1,5.5
長澤まさみ,41.4,92.4
中島セナ,0,3.4
中条あやみ,21.6,70.3
中谷美紀,22.8,76.5
永野芽郁,35,76.5
長濱ねる,7.6,39.5
仲間由紀恵,30.1,90.3
中村アン,17.2,66.2
中村静香,5,23.9
中村ゆり,8.8,28.5
中村ゆりか,0.9,8
中山美穂,9.6,78.4
夏川結衣,11.5,46
夏木マリ,26.4,81.8
夏子,0.4,6.2
夏菜,8,52.7
名取裕子,17.7,70.3
菜々緒,27.3,84.6
成海璃子,8.7,61.6
二階堂ふみ,21.6,80.9
西田尚美,11.9,46.7
西野七瀬,13.5,56.8
仁村紗和,0.5,3.5
生見愛瑠,19.3,66.9
萩原みのり,0,2.7
橋本愛,7.6,46.5
橋本環奈,35.2,83.5
橋本マナミ,10.8,73.1
長谷川京子,12.2,71.9
羽田美智子,16.6,63
畑芽育,0.9,3.2
馬場ふみか,5,26.2
濱田マリ,19.5,74.9
浜辺美波,25.8,72
早見あかり,5,36.8
原沙知絵,4.6,47.1
原菜乃華,2.1,12
原日出子,6.9,60.9
原田知世,16.6,68.5
原田美枝子,9.7,47.6
波瑠,26.9,82.3
比嘉愛未,22.8,62.1
樋口可南子,10.6,70.6
ヒコロヒー,16.3,69.4
久本雅美,18.2,92.7
平岩紙,7.4,37.7
平子理沙,1.6,48.8
平手友梨奈,8.5,63
広末涼子,28.3,91.2
広瀬アリス,33.3,88.3
広瀬すず,35.8,93.1
ファーストサマーウイカ,19.8,74.7
笛木優子,6.4,43.5
深川麻衣,1.6,8.8
深田恭子,32.7,91.5
深津絵里,28.5,72.9
吹石一恵,11.2,72
福地桃子,5.1,23.2
福原遥,21.1,53.3
福本莉子,3.5,15.8
藤田ニコル,15.4,92.9
藤田弓子,7.4,58.9
藤野涼子,0.7,6.2
藤間爽子,1.4,10.1
藤本美貴,13.6,69.2
藤原さくら,3.9,23.2
藤原紀香,11.9,83.7
風吹ジュン,19.1,69.4
古川琴音,5.1,21.1
古畑星夏,1.6,8.3
フワちゃん,18.9,96.6
ベッキー,11.9,94.2
辺見えみり,7.8,74.3
北斗晶,20.5,91.7
堀田茜,12.7,51.2
堀田真由,6.7,28.1
ホラン千秋,19.6,87.1
堀内敬子,8.1,38.9
本上まなみ,8.5,56.3
本田翼,25.8,88.1
本田望結,11,83.4
前田敦子,9.9,88.5
マギー_(モデル),5,63.9
真木よう子,14.5,72.2
蒔田彩珠,2.1,10.1
マーシュ彩,2.1,10.6
益若つばさ,5.5,72.2
松たか子,35.8,89.9
松井愛莉,4.1,26.5
松井玲奈,6,54.7
松岡茉優,20.2,65.7
松風理咲,0.2,1.9
松坂慶子,13.8,68.1
松下奈緒,20.7,80
松下由樹,23.4,77.9
松嶋菜々子,33.1,87.8
松嶋尚美,8.8,76.1
松島花,2.8,19.3
松田聖子,14.5,89.6
松田るか,0.4,3.4
松本伊代,12,85.5
松本穂香,11.3,51.2
松本まりか,13.1,51.7
松本若菜,9.2,19.8
松雪泰子,23,70.4
真飛聖,5,25.3
眞鍋かをり,9.7,77.5
真矢ミキ,22.8,79.5
丸山桂里奈,11.9,86.7
萬田久子,8.1,70.3
萬波ユカ,0.5,3.5
三浦透子,3,20.5
見上愛,0.7,5
水川あさみ,17.5,72.4
水谷果穂,0.2,6.7
水野真紀,7.1,66.5
水野美紀,19.6,68.7
水原希子,11.3,75.9
光浦靖子,15.6,88
観月ありさ,17.9,83.4
満島ひかり,29.4,77.3
三戸なつめ,2.5,49.7
南果歩,8.1,65.5
南沙良,3.5,13.3
南沢奈央,4.1,33.6
南野陽子,10.3,75.8
美村里江,6.4,24.4
宮﨑あおい,23.9,82.1
宮崎美子,28.5,88.1
宮澤エマ,8.1,35.9
宮沢りえ,22.5,85.1
宮本信子,11.2,50.3
宮本茉由,0.5,5.5
宮脇咲良,6.5,31.3
三吉彩花,5.3,32.2
村上佳菜子,11.2,68.5
村上知子,18.9,93.8
室井滋,21.8,78.6
MEGUMI,17.3,73.5
本仮屋ユイカ,9.9,61.9
桃井かおり,17.7,77
百田夏菜子,15.2,65
森泉,18.8,88.5
森絵梨佳,1.6,7.8
森七菜,11.3,56.6
森星,10.1,55.4
森尾由美,12.9,59.8
森川葵,8.1,26.2
森口瑤子,9.9,42.8
森田想,0.2,2.7
森田望智,1.8,6.5
森高千里,20.7,77.3
八木莉可子,4.1,14.5
薬師丸ひろ子,23.2,84.1
安めぐみ,11.5,73.3
安田成美,17.2,69.7
安田美沙子,8.8,65.3
矢田亜希子,16.3,73.8
箭内夢菜,2.8,5.7
柳ゆり菜,0.7,11.5
柳原可奈子,19.6,88.5
矢作穂香,1.4,6.9
山口紗弥加,9.9,44.2
山口智子,31.5,68.7
山口まゆ,1.8,9.4
山口もえ,14.5,85.7
山崎静代,18.6,86.5
山崎紘菜,3.5,17.5
山下美月,5.8,32.2
山田杏奈,3.5,13.8
山田真歩,2.5,15.2
山田優,9.4,75
山之内すず,6.9,67.6
山本千尋,1.4,7.6
山本舞香,11.5,47.3
山本美月,15.2,64.6
YOU_(タレント),26,86.7
優香,26.2,83.5
優木まおみ,7.4,63.9
古川優奈,8.7,62.7
ゆりやんレトリィバァ,20.5,89.7
余貴美子,14.5,57.7
横澤夏子,23.2,86.7
横田真悠,3.7,14.3
吉岡里帆,29.2,81.9
吉川愛,8.7,24.8
吉田美月喜,0,2.1
吉田羊,34.7,80.4
吉田莉桜,0.5,3.5
吉高由里子,37,83.4
吉谷彩子,3.9,22.8
吉永小百合,28.7,85.7
芳根京子,18.4,55.2
与田祐希,3.5,17.3
米倉涼子,33.3,94.5
米倉れいあ,0.7,4.1
RIKACO,10.4,75.8
莉子,2.3,10.1
りょう,19.6,74.2
遼河はるひ,10.4,61.9
LiLiCo,23.5,86.7
蓮佛美沙子,8.8,38.6
ローラ_(モデル),25.3,94.7
若月佑美,1.8,9.2
若村麻由美,10.4,45.5
和久井映見,18.4,65.1
和田アキ子,15.8,97.9
渡辺えり,18.6,78.1
渡辺直美,38.8,97.5
渡辺真起子,3,28.7
渡辺満里奈,15.6,73.8
阿佐ヶ谷姉妹,40.9,95.8
ガンバレルーヤ,29.4,89.7
3時のヒロイン,17.7,82.1
ぼる塾,19.5,78.6
