哀川翔,18.1,89.9,18.6,90.8,12749,31465,29132,11500,17867,12961,9921
相葉雅紀,47.6,96.3,43.9,94.7,32110,21994,22885,12688,12520,16561,17850
青木崇高,11.2,52.9,10.4,52.2,7913,11622,9925,6704,7677,8845,9886
青柳翔,1.4,15,2.1,12,3104,2431,2344,1904,9209,19518,7662
明石家さんま,52.7,98.6,46.5,97.7,29622,25059,39043,43677,36966,45741,34895
赤楚衛二,10.3,29.9,16.5,36.6,286993,93094,141650,92535,113454,101870,696348
秋山竜次,37.2,92.4,32.7,91.9,16387,15334,9423,6951,12555,11349,7220
浅野忠信,17.2,80.2,20.2,80.9,192519,58302,17215,9246,7331,8033,8566
浅利陽介,14.7,71.2,15.4,72.2,31176,24082,8911,10541,4802,8481,7207
厚切りジェイソン,19.8,90.4,19.5,89.6,21941,12802,8827,7889,8365,9191,9541
あばれる君,22.8,94.7,22.7,93.8,25335,9445,12633,10370,9347,15258,10536
阿部サダヲ,32.4,89.6,35.2,91.3,18147,32471,47520,8048,10333,12736,50039
阿部寛,53.6,96.1,55.2,96.3,99764,52330,40180,22903,24263,35006,51271
天野ひろゆき,15.6,89.2,15.8,90.6,6649,5907,11052,9545,10361,8956,10470
綾野剛,24.1,87.1,23.2,88.7,44228,35429,20792,19576,24157,81132,26637
荒川良々,11,72.7,13.5,75.6,5553,5976,5725,4213,5919,11287,19751
荒木飛羽,0.5,6.7,1.9,7.6,5106,19878,15729,34170,45957,13135,5881
新田真剣佑,15.6,73.3,17,74.7,29688,22914,55325,33356,32243,129633,23401
有岡大貴,8.7,53.1,9.9,57.3,11901,8692,6220,8426,6924,9758,5377
有田哲平,33.5,96.3,32.4,95.9,17618,15164,14384,21252,16172,16300,15247
有吉弘行,42.1,98.2,39.5,98.8,34889,48729,24400,24364,41586,53479,31396
飯尾和樹,38.2,91.3,39.6,92,14105,24780,13437,8346,9285,12729,16205
井浦新,14.3,53.5,21.2,58.6,19593,23413,19812,72807,21882,40273,25440
生田斗真,29.4,85.7,31.5,84.8,25366,22497,32485,41549,22452,23691,105746
池松壮亮,6.2,42.3,8.3,52.2,10937,67580,14752,14226,11016,31212,12357
伊沢拓司,15.8,72.2,13.1,75,31468,37912,24455,12218,16559,17397,12605
石塚英彦,28.8,94.9,26.9,93.5,6422,5881,5337,6609,6865,6013,5295
石橋貴明,20,91.9,18.1,92.2,18773,17544,22829,20485,13062,21014,9952
石原良純,20.5,94.7,17,93.3,13353,10811,11753,21896,11864,9456,11605
石丸幹二,10.3,60.7,11,61.9,15193,15453,15860,11797,16199,8999,8285
伊集院光,20.2,90.3,16.3,90.6,23644,31856,35166,16311,13478,17184,26147
泉澤祐希,1.8,17.9,2.1,20.7,37665,3747,10318,9944,7086,15782,15408
磯村勇斗,13.1,48,15.8,49.9,87392,36215,16907,15892,15534,20248,26053
板尾創路,12.9,78.6,12.6,83.5,14777,21203,6218,5361,4666,6235,8968
板垣瑞生,1.4,9.2,1.9,7.8,19233,12682,10834,9017,5737,7177,5811
板垣李光人,1.8,10.3,5,20.5,11759,39121,247320,85271,168683,84603,36693
市川猿之助_(4代目),14.3,81.1,11,80.4,29533,47974,19099,14284,14049,18010,32255
一ノ瀬颯,1.4,7.6,0.7,9.4,41604,12008,7399,4451,4188,26328,11777
市原隼人,19.5,79.6,24.1,84.2,46981,26045,29614,34407,21170,32003,17118
市村正親,15,82.8,15.6,86.9,10778,5966,5704,7460,39138,39905,44496
IKKO,29,98.4,28.8,97.5,8061,13525,7202,10153,6678,24622,10114
井手上漠,1.8,12.9,1.4,15.8,40286,27385,31693,23428,38116,21656,16927
伊藤あさひ,0.7,3.5,0.4,6,2174,1675,1810,3115,3090,1835,3065
伊藤淳史,20.2,82.1,21.8,85.8,7055,6635,6901,11315,5733,18405,8056
伊藤英明,18.4,82.7,25.3,86.5,15496,18423,17402,63615,11820,130295,49073
稲垣吾郎,18.2,91.7,15.4,91.3,9135,7851,11933,12605,10217,15002,8780
稲葉友,2.8,15.9,2.1,17.9,14458,9226,15217,9572,13188,15317,9751
犬飼貴丈,3.9,18.2,5,22.8,56330,45094,21732,16504,14062,31172,76902
井上祐貴,0.5,4.2,0.4,3.4,7014,6321,14634,6974,11365,34292,10464
伊野尾慧,13.3,69.9,11.3,68.7,18419,11269,7422,7256,7354,9393,6600
井ノ原快彦,31.9,88.8,27.8,89.6,7876,6239,29390,40355,18885,21055,8256
井之脇海,3.9,31,6.7,39.3,64762,153004,38907,42287,90023,8448,5256
伊原剛志,9.2,69.2,13.5,70.8,12372,16399,6858,9622,4934,7054,5817
伊武雅刀,15.6,79.6,17,83.2,7913,14050,18058,5298,6314,13849,14779
今井翼,12,66.9,7.4,68.7,5620,4677,8478,25398,5038,9128,3032
今田耕司,29.2,96.1,26,95.4,12212,26750,23746,10151,14402,19949,37573
岩田剛典,24.4,69.7,18.2,68,22863,16850,63489,29204,39011,18557,47740
上田晋也,30.4,94.9,28.3,92.9,13507,15727,14100,12596,7996,11735,13926
ウエンツ瑛士,20.2,93.1,16.5,94.2,13388,10799,13045,8105,6184,6426,6335
宇梶剛士,17.7,79.8,14.9,81.1,17487,16822,18092,11429,16590,12842,10766
内野聖陽,19.5,64.2,19.5,65,14009,16534,12597,37301,17597,22540,18663
内村光良,48.8,96.8,46,96.1,28851,21489,17592,10254,12981,15579,13502
ウド鈴木,16.8,92.4,16.1,91.9,4955,6635,10460,3966,6719,7531,9572
梅沢富美男,18.9,95,18.6,95.8,13395,15361,9207,12598,9007,24695,10749
江口洋介,24.8,85,31.5,89.7,14766,18957,41066,15261,15361,13695,10884
柄本明,25.7,84.2,23.9,87.1,17314,11148,13078,14446,10698,24753,14601
柄本佑,22.7,75.8,20.9,77.5,20914,13777,12135,38908,11801,55778,29752
柄本時生,12.7,76.3,13.3,78.8,9967,6435,8796,12514,7435,24872,15722
遠藤憲一,41.6,92.4,39.1,91.5,10550,11378,13094,9869,10709,20839,32684
遠藤章造,8.7,80.2,9.7,82.5,14900,7938,4874,10205,4893,5394,6672
及川光博,25.5,89.6,26.9,89.9,26890,13263,41443,12912,13752,29367,11372
大泉洋,50.8,95.9,52.2,95.6,43615,40586,45138,53519,62589,48534,28401
大倉孝二,13.6,58.8,9.6,61.1,12631,8505,5433,3768,2225,2747,2144
大倉忠義,12.2,64.4,11.5,65.5,13296,10432,12850,11367,17013,16826,7715
大沢たかお,20.2,79.3,23.4,83.2,22025,11867,10165,16143,23109,18789,11075
太田光,20.5,91.5,13.5,92,14677,24071,12601,5262,13534,12155,13823
大谷翔平,59.5,96.5,55.8,97,337962,256626,212857,100473,85548,117335,117183
大谷亮平,15,71.3,13.3,69.7,35636,11660,11792,29067,7639,20163,8195
大森南朋,16.5,72.2,17.5,75.9,137248,13765,10353,14827,14301,44886,84792
岡田圭右,10.6,84.6,10.4,85.5,6312,9782,6280,6688,4994,8728,5046
岡田准一,36.8,90.8,40.9,93.1,31311,73094,29563,25580,20764,70052,42343
岡田将生,22.8,75,21.4,78.6,13528,12794,48590,43798,53787,43914,13105
岡村隆史,31.7,95.2,29.2,96.1,18295,20318,18144,19055,18904,28314,18509
岡山天音,6.2,41.9,6.4,48.1,14783,26490,11204,5018,7319,19163,41517
奥田瑛二,7.3,63.7,6.7,65.1,8329,6035,14520,7471,8782,15992,10420
奥平大兼,1.6,10.1,0.5,8.1,2525,3418,3401,3572,3007,4465,2482
小栗旬,38.1,92.4,40.9,93.6,50483,31343,43599,42532,92160,82903,28197
小澤征悦,10.8,81.4,12.6,79.6,19249,22076,10658,7614,12156,13378,15695
織田裕二,22.1,88.3,20.9,89.2,18532,14176,15256,13071,13939,15242,22401
オダギリジョー,23.5,87.4,26.5,88.1,14283,79031,35082,24815,24027,13793,13843
音尾琢真,3.5,18.8,3,19.6,4139,3918,7705,4926,6223,11993,8843
尾上松也_(2代目),11.5,74.3,12.9,76.6,10618,25958,39226,22496,27069,16749,21247
香川照之,39.6,90.4,21.2,92.4,344728,576202,37766,21578,25513,18535,20660
賀来賢人,33.6,85.3,35.2,85.1,29698,40092,18950,20758,27647,98924,34792
角田晃広,20.9,69,22.3,74.2,4183,3165,6998,5498,4598,10642,3980
筧利夫,10.1,76.1,14.7,78.2,3391,3485,5013,8874,25685,9951,2974
風間俊介,22.8,83.5,31,87.6,41106,47252,33876,26852,37669,40081,18223
笠松将,3.4,29.2,2.7,27.3,33285,5682,5634,3970,12712,21973,20005
春日俊彰,24.6,96.5,23.9,96.6,14265,13454,13565,13842,17824,18313,13133
カズレーザー,33.6,96.1,34,96.8,35439,30143,52682,45326,37793,41550,35948
加瀬亮,8.3,53.6,10.3,59.3,10640,10239,8654,11562,12176,12335,9827
片岡愛之助_(6代目),11.2,82.5,11.9,85.1,8201,7294,6459,6337,5364,9096,24975
片桐仁,13.6,69.4,11.9,72,7541,6845,6101,4440,4265,11979,6712
片寄涼太,6.4,36.5,4.8,46,11999,5324,4790,20276,61379,323180,33872
勝地涼,6.5,76.8,7.1,78.2,10019,4234,11068,10028,6002,37373,32269
勝俣州和,13.3,85.1,12.2,87.1,13941,6908,6730,6529,7965,7975,8799
勝村政信,14,75.8,13.6,80.2,5482,14522,11941,17895,10921,7948,5553
加藤浩次,20.5,92.4,21.6,92.7,33283,17227,12853,49306,17346,19891,16767
加藤清史郎,10.3,72.9,9.9,74.5,40086,24896,15994,15167,5519,24439,6611
加藤諒,14.3,88,12.7,87.8,30267,7244,6509,7191,8077,7446,9193
香取慎吾,28,95.6,25,95.9,16798,16173,13328,16527,18038,25231,14804
要潤,14.9,86,16.8,86,7038,5976,6070,7434,9278,7609,7043
金子大地,1.1,9,1.2,12.9,154140,43340,22097,13311,17886,7803,5001
金子ノブアキ,6.4,41.2,6.7,43.7,8179,7550,6746,24413,9824,12944,7342
川平慈英,15.2,84.4,14.5,88.3,7269,14130,5012,56684,18056,4927,3114
神尾楓珠,8.3,38.6,7.3,37.5,63485,48324,26407,19495,22119,90488,36269
上川隆也,17.2,73.3,17.3,73.1,33155,23923,13926,11887,17299,48991,11636
神木隆之介,33.8,89.2,32.9,88.3,21447,26190,28842,48763,31473,34697,18853
上地雄輔,8.8,85.5,10.8,87.4,38906,16571,9424,10106,7703,10913,8849
亀梨和也,21.8,93.6,19.1,92.6,13756,10484,13738,11747,12358,18501,12998
唐沢寿明,30.8,84.2,31.2,87.3,10944,12549,11150,10073,8414,13051,10176
河合郁人,10.8,61.4,15.8,65,28033,10831,14835,13259,9365,9580,12507
川島明,25.8,86.4,28.1,87.3,36433,32463,25941,20471,49604,26118,20181
神田正輝,6.9,75.4,6.7,77.3,8700,7385,10106,5413,8574,9017,6514
カンニング竹山,16.6,94,16.3,94.3,11537,12450,9179,15585,11743,15128,12596
菊池風磨,22.8,64.4,25,68.1,139466,52615,40883,33166,34278,64338,143802
岸優太,17.3,59.1,21.4,64.6,21519,29131,21445,77970,23536,39180,31216
岸谷五朗,13.5,75.4,13.6,76.5,7247,5657,7158,7147,12919,18518,15198
岸部一徳,19.3,86.2,22.1,88.1,14224,14862,28822,11896,11820,18597,25826
北大路欣也,21.6,87.6,26.4,90.1,17287,16271,16204,20265,21993,44789,12384
北村一輝,27.3,83,25.8,85.8,36730,189752,36956,12587,25731,33639,21309
北村匠海,21.8,68,24.8,74,45281,27249,25295,19660,34308,122792,127394
北村有起哉,5.7,43.2,7.1,48.8,68596,10360,10317,6594,52284,7515,4377
北山宏光,4.6,58.4,5.1,60.2,7774,6948,4297,4971,5039,9780,5040
吉川晃司,16.8,80.2,20,79.6,20091,18343,50180,66854,221281,22601,15899
木梨憲武,29.9,92.4,27.3,93.3,6751,6601,7082,7735,8520,11019,6269
木村昴,14.3,57.3,17.3,67.8,57177,53775,25537,107345,40474,120104,155892
木村拓哉,31.3,96.5,34.2,98.2,44419,49692,56875,124714,51552,215515,76503
桐谷健太,24.6,86.9,25.8,90.1,10320,6985,12992,12201,34733,15584,11175
桐山漣,5,28.3,4.6,28.3,74820,33102,17723,10179,7527,11917,8383
草刈正雄,23.7,86,25.1,88.7,16340,30761,16948,16170,16009,24815,68179
草彅剛,27.6,94.2,24.4,94.3,25142,17150,15415,19780,33453,102943,47144
くっきー!,21.1,88,18.6,89,18109,19564,11027,9426,15533,21082,14546
工藤阿須加,15.9,65.8,12.4,63.7,33473,26563,32497,17776,9306,41578,8857
國村隼,16.8,78.9,16.6,81.9,19738,18917,5957,10476,6123,5459,4970
窪田正孝,23.4,78.8,21.2,80,12202,26745,20331,31004,11905,13357,11913
黒羽麻璃央,0.9,8.8,1.1,10.8,31782,15259,16539,16527,13095,12340,29486
桑田佳祐,42.1,91.3,45.3,92.9,25425,27766,84189,58971,63851,39589,28310
劇団ひとり,30.3,94,26.9,94,23531,27312,19011,16844,19040,19229,12723
ケンドーコバヤシ,22.7,91.9,23,91.9,20894,13705,15003,11936,12577,36442,17655
小池徹平,15.9,83.7,15,86.9,11915,8792,15808,10521,22844,12440,5044
小泉孝太郎,21.9,91.3,20.9,92.4,39644,60217,30123,12857,9801,27540,9783
郷ひろみ,15,92.4,17.5,93.5,60391,86271,31580,60190,51505,53770,19972
高良健吾,8.3,48.8,10.6,54,13966,12602,9803,9585,7894,8145,8570
国分太一,24.6,92.9,22.3,94,7305,6843,7695,9828,7341,12590,8090
児嶋一哉,26.4,89.2,26.9,90.8,9474,5790,5829,7691,5746,7759,5663
小関裕太,3.9,34.5,5,37.2,16179,13100,15838,11485,15906,20489,18062
小瀧望,3.4,23.7,4.6,25.1,15660,12012,10791,9191,8527,9673,6036
小手伸也,13.1,71.7,13.5,74.5,6973,4036,4736,7925,9206,19536,18723
後藤輝基,20.2,86.7,21.9,90.1,6758,6459,4372,6662,6440,9541,4611
小峠英二,32,94.3,34.2,95.4,20685,20933,17640,15788,14035,22147,14467
小林薫,13.3,69.9,16.5,74,6961,7015,12136,14919,15942,10030,5153
小日向文世,29.9,86.5,33.1,89.6,7381,11824,11448,6264,6229,16820,22300
駒木根葵汰,0.7,3.5,0.4,3.4,7857,3479,7011,5433,5521,6946,16084
小宮浩信,10.4,72.4,10.6,75.9,5638,6934,5245,4637,6321,5307,5361
小宮璃央,0.4,7.6,1.2,8.8,9350,10264,31823,16554,8064,23698,11542
小籔千豊,16.3,88.5,12.7,88,15473,13993,13273,12946,12634,25321,9479
今野浩喜,8.5,68.8,7.6,71,8418,6309,11663,10038,7102,10675,7665
斎藤工,29,88.7,27.8,89,22129,18457,14500,21982,19600,30481,21164
堺正章,15.2,93.3,15.2,92.9,12997,18110,10547,11695,13248,16670,13940
堺雅人,33.3,89.9,31,89.9,17659,16690,17935,17339,20901,38144,16368
坂上忍,13.3,94.9,10.8,95,14568,12923,17943,9875,10091,15580,16216
坂口健太郎,21.9,79.1,25.8,81.2,58861,80499,40043,32420,33827,23629,21558
櫻井海音,1.8,8.5,1.4,12,17915,26513,18617,23131,17576,44438,14398
櫻井翔,36.8,95.9,36.1,96.5,31779,26056,26750,21575,28085,59686,53130
桜田通,1.2,11.3,1.6,11.5,10172,9893,9865,6912,12929,15503,8754
佐々木蔵之介,24.1,81.2,23.9,85.1,11113,46018,24073,19241,20936,19571,13637
笹野高史,25.1,87.1,24.4,89,9719,4956,4448,5276,7249,34876,6225
佐藤寛太,1.9,13.3,0.5,11.3,56750,12997,14732,5641,3655,5097,6159
佐藤浩市,25.1,84.6,25.1,86.4,15959,12249,21423,24001,19034,11771,11049
佐藤勝利,10.1,46.5,10.6,51.3,32275,13748,8797,8951,16278,25560,8028
佐藤二朗,30.3,86.4,33.6,86.9,74567,16525,15212,10523,19755,22166,13305
佐藤大樹_(ダンサー),1.8,14.7,1.2,13.6,5637,5051,6323,9808,6538,3678,2614
佐藤健_(俳優),35.9,80.7,37.9,86.9,56823,62094,51325,54656,121011,138935,55594
佐藤隆太,21.8,88.5,24.1,89.6,7748,6456,4422,3139,5332,6274,5893
佐野史郎,11.3,81.4,10.8,85.8,14477,13963,22222,10596,15401,8482,22670
佐野勇斗,8,38.9,8.5,35.8,54486,37113,18299,22924,20434,27886,10347
澤部佑,25.1,93.5,27.1,93.5,10527,11940,7795,5786,9801,21197,12623
沢村一樹,28.3,85.1,27.1,86.7,33912,19594,42947,12166,24878,27339,11371
サンシャイン池崎,21.1,91.5,21.4,91.5,23295,15987,24430,45929,13452,14018,21102
椎名桔平,20.9,79.1,22.1,83.7,11114,12101,17525,10131,7061,8121,10046
重岡大毅,6.7,49.7,8.1,49.9,26293,14175,10615,12122,10836,18515,11345
志尊淳,16.6,67.3,17.3,69.7,15460,14226,14479,10110,11340,12954,15913
設楽統,34,92.2,35.2,93.3,13861,21191,12473,13221,14629,15585,12619
清水尋也,1.4,18.9,1.4,19.3,15730,7889,14188,5871,4428,7901,6725
春風亭昇太,11.7,86.2,16.1,88.5,11368,13518,27955,8907,9643,13834,28372
城島茂,28.1,92.6,25.1,94.2,8649,9104,7792,9999,6045,11366,7805
笑福亭鶴瓶,34.9,97,30.4,96.5,17968,29047,27527,14853,13646,24712,135137
白濱亜嵐,8.8,53.8,6.4,51.9,18993,7452,6313,7818,6657,11444,8622
城田優,12,80.7,12.6,83.9,14333,17852,9876,12877,9395,15533,8428
神宮寺勇太,8.1,39.1,7.3,46.7,10832,12209,13162,56354,17359,26515,19346
陣内孝則,18.6,83.7,15.9,86,8488,10767,5323,4295,5114,5225,4921
陣内智則,21.2,92.9,19.3,93.6,16459,15279,10837,8824,11162,30650,19738
須賀健太,6.9,46.9,5.5,51,50486,18217,12067,14628,11136,13109,10338
杉浦太陽,7.4,76.5,6.2,80.5,14105,14391,9369,10697,11581,16748,18207
杉野遥亮,11.3,40.7,14.2,43,104472,67321,26906,32608,27417,176837,56445
杉本哲太,13.3,76.8,13.5,82.8,5326,4440,5749,4036,12635,14440,14272
鈴鹿央士,4.6,33.5,11.5,47.4,73074,62291,387349,221829,232774,85189,22533
鈴木浩介_(俳優),9.7,59.5,11.7,66,5655,8709,15053,10614,5375,17308,13508
鈴木仁_(俳優),1.8,8.8,1.9,8.8,7492,7096,7432,4521,4706,11530,11512
鈴木伸之,11.2,35.8,11,40.5,25598,12654,25199,42108,36768,128114,61372
鈴木福,21.4,88.3,23.9,88.8,36423,30523,23668,48820,36058,41024,38473
鈴木亮平_(俳優),34.3,85,39.6,89.2,30137,26054,64016,74813,50983,57315,68328
菅田将暉,33.3,92.2,36.6,92.7,72497,174815,67338,52498,46092,48305,53794
駿河太郎,6.5,48.1,6.5,51,24912,60161,20087,4309,7091,11437,28817
関口メンディー,17.5,84.6,16.3,81.6,16871,23298,28442,16317,9336,29094,10731
関根勤,28,93.1,24.4,92.6,12033,11787,8251,6884,5846,10933,7313
瀬戸康史,14.2,62.1,15.2,66,25134,24275,47605,42710,66042,54805,21704
染谷将太,6.7,54.3,7.3,61.2,18048,23778,19039,14751,20583,28942,29602
反町隆史,29.2,87.8,28,89.6,31007,30602,25737,19006,16862,51417,18834
DAIGO,33.6,95.6,29.6,95,39852,19397,22875,26100,30004,35247,30656
醍醐虎汰朗,0.5,3.9,0.4,7.1,8749,6507,13568,79942,40990,9370,6346
髙嶋政宏,7.3,78.4,7.8,81.4,11147,7095,17059,8433,12001,8525,11936
高杉真宙,8.3,35.8,11.7,46,62350,37290,101045,174616,92022,45783,19511
高田純次,32.6,87.4,34,90.4,11658,12969,20357,16709,15131,18077,19653
高橋一生,28.1,87.3,26.4,89.2,97122,25766,19257,20629,31012,57325,28757
髙橋海人,11.2,49.9,15.4,58.6,27418,24747,48919,77251,55810,41504,26280
高橋克典,21.6,82.8,23,87.4,19172,26697,85644,27462,30092,108216,48497
高橋克実,22.7,87.6,25.3,90.1,5934,10438,17626,4058,3598,10884,4148
高橋茂雄,21.9,91.7,25.3,92.4,27376,26874,12335,9804,65334,35970,29913
高橋英樹_(俳優),15.6,87.4,17.7,89.9,10336,12652,9841,8167,18526,16635,10080
高橋文哉,6,18.2,10.8,24.6,31611,39022,274654,223251,161663,168831,67078
高橋光臣,3.7,19.3,4.8,21.8,7869,5290,17108,5847,6802,7516,9001
滝藤賢一,19.5,74.2,23.2,82.8,13019,14597,10694,8913,15665,70014,14202
武井壮,17,91,13.1,91.9,20278,14717,10569,30549,14525,15457,8295
竹内涼真,23.4,82.3,24.1,88.7,91844,55914,40321,14384,14860,15971,13636
武田鉄矢,17.7,92.9,15.9,94.2,14000,19197,13249,13334,15232,17151,14063
竹中直人,29.9,86.4,28,89.2,14061,9417,7992,7910,6999,8887,7084
竹野内豊,31,84.1,37.9,88.7,23556,20620,23680,20745,23932,81911,20811
舘ひろし,26,87.3,23,89.4,34065,15355,14399,13304,13483,11683,11029
田中圭,25.1,85.1,24.1,89,78474,53232,24610,26705,15479,35491,48722
田中卓志,26,94.3,23.7,95.2,19194,77139,21529,15232,15156,78872,22183
